Price,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
4861,ACURA,MDX,2011,Jeep,Yes,Petrol,3.7,181970 km,6.0,Automatic,4x4,04-May,Left wheel,Brown,12
4391,ACURA,RDX,2014,Jeep,Yes,Petrol,3.5,0 km,6.0,Automatic,Front,04-May,Left wheel,White,12
2979,ACURA,TSX,2010,Sedan,Yes,Petrol,2.4,203061 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
69,ACURA,TL saber,2001,Sedan,No,Petrol,2.5,205502 km,6.0,Tiptronic,Front,04-May,Right-hand drive,Black,4
3450,ACURA,TLX,2015,Sedan,Yes,Petrol,2.4,83099 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
1176,ACURA,TL,2010,Sedan,Yes,Petrol,3.7,280040 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
314,ACURA,TL,2010,Sedan,Yes,Petrol,3.5,162453 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12
10349,ACURA,TLX,2015,Sedan,Yes,Petrol,3.5,70562 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
11760,ACURA,MDX,2012,Jeep,Yes,Petrol,3.7,124978 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
39201,ACURA,RDX,2014,Jeep,Yes,Petrol,3.5,81600 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,10
706,ACURA,TSX,2010,Sedan,Yes,Petrol,2.4,227576 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
282,ACURA,RDX,2015,Jeep,Yes,Petrol,3.5,0 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12
188,ACURA,TSX,2010,Sedan,Yes,Petrol,2.4,0 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
4077,ACURA,TSX,2012,Sedan,Yes,Petrol,2.4,117874 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
4861,ACURA,MDX,2012,Jeep,Yes,Petrol,3.7,147701 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
3700,ALFA ROMEO,147,2001,Coupe,Yes,Petrol,1.8,240000 km,4.0,Manual,Front,02-Mar,Left wheel,Black,4
18817,ALFA ROMEO,Giulietta,2013,Hatchback,Yes,Petrol,1.4 Turbo,85000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Black,12
12544,ALFA ROMEO,159,2005,Sedan,No,Petrol,2.2,152200 km,4.0,Manual,Front,04-May,Left wheel,Silver,10
4500,ALFA ROMEO,166,2001,Sedan,No,Petrol,2,200000 km,8.0,Manual,Front,04-May,Left wheel,Blue,4
54000,ASTON MARTIN,Virage,2007,Coupe,Yes,Petrol,4.3,72000 km,8.0,Tiptronic,Rear,02-Mar,Left wheel,Black,8
25716,AUDI,Q5,2012,Jeep,Yes,Petrol,3.2,100000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Blue,8
